숙소 링크,평점,후기 개수,이미지 파일
https://www.airbnb.co.kr/rooms/943577143000045473?search_mode=regular_search&adults=1&check_in=2025-05-05&check_out=2025-05-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3SUfhyte6puH9mG&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.86,110.0,airbnb_images\숙소_68.jpg
https://www.airbnb.co.kr/rooms/1013003395491995819?search_mode=regular_search&adults=1&check_in=2025-07-05&check_out=2025-07-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3sYLMdKZeUTZC6j&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.83,64.0,airbnb_images\숙소_69.jpg
https://www.airbnb.co.kr/rooms/1024434988342499469?search_mode=regular_search&adults=1&check_in=2025-04-27&check_out=2025-05-02&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P30pexTFyTb2Gs7_&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.56,43.0,airbnb_images\숙소_70.jpg
https://www.airbnb.co.kr/rooms/848218552171167257?search_mode=regular_search&adults=1&check_in=2025-04-21&check_out=2025-04-26&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3iyWh8FRx3gNNH8&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.74,108.0,airbnb_images\숙소_71.jpg
https://www.airbnb.co.kr/rooms/1151624659821197744?search_mode=regular_search&adults=1&check_in=2025-07-05&check_out=2025-07-10&children=0&infants=0&pets=0&source_impression_id=p3_1744545807_P3p-2wVGBwsokGrd&previous_page_section_name=1000&federated_search_id=a527f0b5-191c-4a53-b4f7-52d7493b651d,4.86,59.0,airbnb_images\숙소_72.jpg
https://www.airbnb.co.kr/rooms/1341765667865684456?search_mode=regular_search&adults=1&check_in=2025-07-06&check_out=2025-07-11&children=0&infants=0&pets=0&source_impression_id=p3_1744545916_P3Sdp7dhcKZGUByE&previous_page_section_name=1000&federated_search_id=1f0422b1-cee5-4be1-836d-cf3635964468,4.92,25.0,airbnb_images\숙소_73.jpg
https://www.airbnb.co.kr/rooms/977940896371873447?search_mode=regular_search&adults=1&check_in=2025-05-04&check_out=2025-05-09&children=0&infants=0&pets=0&source_impression_id=p3_1744545916_P3vLyiybZv5qSMVI&previous_page_section_name=1000&federated_search_id=1f0422b1-cee5-4be1-836d-cf3635964468,4.88,26.0,airbnb_images\숙소_74.jpg
https://www.airbnb.co.kr/rooms/1255357479725982344?search_mode=regular_search&adults=1&check_in=2025-07-15&check_out=2025-07-20&children=0&infants=0&pets=0&source_impression_id=p3_1744545916_P3SYZrjDws4GbLIo&previous_page_section_name=1000&federated_search_id=1f0422b1-cee5-4be1-836d-cf3635964468,4.95,20.0,airbnb_images\숙소_75.jpg
https://www.airbnb.co.kr/rooms/1302828220616045213?search_mode=regular_search&adults=1&check_in=2025-09-03&check_out=2025-09-08&children=0&infants=0&pets=0&source_impression_id=p3_1744545916_P3ekp4bCFywu1qRs&previous_page_section_name=1000&federated_search_id=1f0422b1-cee5-4be1-836d-cf3635964468,5.0,26.0,airbnb_images\숙소_76.jpg
https://www.airbnb.co.kr/rooms/1389789100952771450?search_mode=regular_search&adults=1&check_in=2025-05-06&check_out=2025-05-11&children=0&infants=0&pets=0&source_impression_id=p3_1744545916_P3EL14FprQ4RehMs&previous_page_section_name=1000&federated_search_id=1f0422b1-cee5-4be1-836d-cf3635964468,,,airbnb_images\숙소_77.jpg
